,accuracy,size,time,cum_accuracy,cum_time,index
0,55.757575757575765,165,2.056006425,55.75757575757577,2.056006425,0
1,60.0,165,1.9327255870000002,57.878787878787875,1.9943660060000001,1
2,48.1203007518797,133,1.5978196570000005,55.0755939524838,1.8621838896666667,2
3,51.67785234899329,149,1.835969604999999,54.248366013071895,1.8556303184999998,3
4,60.0,140,1.8005659870000006,55.319148936170215,1.8446174522,4
5,45.0,120,1.5732764140000004,53.89908256880734,1.7993939458333335,5
6,55.4140127388535,157,2.1399254570000004,54.13022351797862,1.8480413045714286,6
7,56.75675675675676,148,1.9880526629999977,54.46049277824979,1.8655427243749998,7
8,55.24475524475524,143,1.9399978090000012,54.54545454545455,1.8738155115555557,8
9,50.427350427350426,117,1.623354159999998,54.21016005567154,1.8487693764,9
10,51.65562913907284,151,2.1362892140000014,53.967254408060455,1.8749075434545455,10
11,57.41935483870968,155,2.2466091570000017,54.27423981640849,1.9058826779166669,11
12,57.57575757575758,132,1.9217946549999994,54.50666666666667,1.9071066761538462,12
13,44.800000000000004,125,1.9598701669999983,53.9,1.9108754969285715,13
14,54.54545454545454,143,2.2733054350000046,53.9430704619692,1.9350374928000003,14
15,56.48854961832062,131,1.928615905000001,54.08970976253298,1.9346361435625004,15
16,65.3061224489796,147,2.3198988729999996,54.770755885997524,1.9572986570588238,16
17,55.033557046979865,149,2.675097708999999,54.78599221789883,1.9971763821666668,17
18,62.41610738255034,149,2.7052264169999987,55.20411916145642,2.034442173473684,18
19,56.09756097560976,164,2.586038606999999,55.254942767950055,2.0620219951500003,19
