,accuracy,size,time,cum_accuracy,cum_time,index
0,0.1243815386355294,994,0.22138384799999988,0.1243815386355294,inf,0
1,0.10990851726509052,1018,0.32452160600000024,0.11705870774332922,0.5459054540000001,1
2,0.10387809233808096,966,0.430411404,0.1127831958287994,0.48815842900000006,2
3,0.10985397060762365,953,0.5714245170000001,0.11207305804305011,0.5159137916666667,3
4,0.10049596584398957,962,0.6502241020000001,0.10979691606563416,0.5494913692500001,4
5,0.09536193084307594,954,0.750594585,0.10744169528535015,0.5897120124,5
6,0.10453753201896424,962,0.8522630950000005,0.10703138465790658,0.6334705261666668,6
7,0.10312619077495953,861,0.9636329760000004,0.10659300500559661,0.6806365904285716,7
8,0.11355113854028065,922,1.1119525499999998,0.10733967622521705,0.7345510853750001,8
9,0.09859963030847517,907,1.1837610639999987,0.10650514399587871,0.7844633052222222,9
10,0.11065080045009779,925,1.2833007070000004,0.1068730193047959,0.8343470454,10
11,0.10148439598451373,854,1.486810565999999,0.10646497848944557,0.8936619109090909,11
12,0.10008302499419269,758,1.5815478450000011,0.10606305752322741,0.95098573875,12
13,0.09965650030387604,401,1.6866963639999994,0.10585649408791666,1.0075788637692307,13
