,accuracy,size,time,cum_accuracy,cum_time,index
0,0.09155928919274557,4027,0.48843573799999973,0.09155928919274557,inf,0
1,0.08509302001296595,4286,0.8094292809999999,0.08822542299467805,1.2978650189999996,1
2,0.09065669421169419,4033,0.9836295929999999,0.08901963300749402,1.1407473059999997,2
3,0.09162263616475462,3965,1.287431268999999,0.08965239050357264,1.1896419603333328,3
4,0.09454585214481695,3788,1.5063600079999997,0.09057464696892084,1.2688214722499995,4
5,0.09040406509146462,3921,1.7641527220000004,0.09054680135936606,1.3678877221999997,5
6,0.08602652876772507,4045,2.0488966490000013,0.08989529583172709,1.48138921,6
7,0.08731086412272793,4096,2.308333072,0.08956614461503418,1.5995240474285715,7
8,0.08707202825990282,4436,2.661012537999998,0.08926382748107888,1.7322101087499997,8
9,0.08486934217078998,4651,2.935232070999998,0.08876831857935868,1.8658792156666664,9
10,0.07775804978688017,4813,3.2844479520000007,0.08761783500978358,2.0077360893,10
