,accuracy,size,time,cum_accuracy,cum_time,index
0,54.420432220039295,1018,0.26481956299994636,54.420432220039295,0.26481956299994636,0
1,57.24867724867725,945,0.39840763200004403,55.781966377992866,0.3316135974999952,1
2,59.72803347280335,956,0.5716247760001352,57.07434052757794,0.4116173236667085,2
3,58.016877637130804,948,0.7187432670000362,57.30540470649082,0.48839880950004044,3
4,61.32075471698113,954,0.8122957809998752,58.09997925741548,0.5531782038000074,4
5,57.85714285714286,980,0.9448615080000309,58.05895535252542,0.6184587545000113,5
6,59.8,1000,1.0853747879998537,58.31495368328187,0.6851610449999888,6
7,59.67213114754099,915,1.2839145129998997,58.475894245723175,0.7600052284999776,7
8,59.97830802603037,922,1.3755442730000595,58.63625839314656,0.8283984556666534,8
9,56.58042744656918,889,1.5279662279999684,58.44442111892516,0.8983552328999849,9
10,58.70818915801615,867,1.6766314710000643,58.46642293630941,0.9691076181818103,10
11,59.69664138678223,923,1.7736583369999153,58.56675797472828,1.0361535114166525,11
12,59.43396226415094,954,1.9105469189998985,58.63417814359058,1.1034145427692097,12
13,61.78861788617886,861,2.0965355009998348,58.84099908620164,1.1743517540713972,13
14,60.317460317460316,882,2.173113750000084,58.93392321963751,1.2409358871333098,14
15,58.719646799117,906,2.3598778549999224,58.920911528150135,1.310869760124973,15
16,55.257009345794394,856,2.43583127099987,58.72210953346856,1.3770439666470258,16
17,59.56719817767654,878,2.6070651879999787,58.76666266362435,1.445378478944412,17
18,62.01456310679612,824,2.7683987620000607,58.91978487241103,1.5150111254210252,18
19,62.56038647342995,828,2.856378351000103,59.08445318474817,1.582079486699979,19
20,60.688836104513065,842,3.0772949300001073,59.155003133486524,1.6532802220952232,20
21,64.06820950060902,821,3.168600041000218,59.35700335520056,1.7221583956818138,21
22,61.29807692307693,832,3.246225498000058,59.434642565261285,1.788422182739129,22
23,61.50121065375303,826,3.4112450210000134,59.51357099921395,1.856039800999999,23
24,60.79136690647482,834,3.497552697999936,59.561016873692175,1.9217003168799964,24
25,62.88782816229117,838,3.677324813000041,59.680672990257094,1.9892243359615367,25
26,60.893854748603346,895,3.8125249250001616,59.72555178969993,2.056753987407412,26
27,63.42925659472422,834,3.8968305890000465,59.84896915454691,2.122471008892863,27
28,62.15596330275229,872,4.071833349000144,59.92664092664093,2.189690399931045,28
29,60.997732426303855,882,4.19624591999991,59.961914718841015,2.2565755839333406,29
30,59.325842696629216,890,4.273397529999784,59.94145706851691,2.3216343563870967,30
31,60.66134549600912,877,4.457987642000035,59.96357140355179,2.388395396562501,31
32,61.272923408845735,927,4.606813401999943,60.004749626815034,2.45562018460606,32
33,59.63923337091319,887,4.7550352330001715,59.994071732042286,2.5232500389705925,33
34,63.811563169164884,934,4.811356590000059,60.107997571652234,2.588624511857149,34
35,64.14662084765177,873,4.980675961000088,60.21759403170656,2.6550703854444526,35
36,62.620837808807735,931,5.195675972000117,60.285187758677985,2.7237354012973087,36
37,61.21399176954733,972,5.3465763209999295,60.31168373785695,2.792757530763167,37
38,61.57735085945399,989,5.488179715000115,60.34738463293594,2.861870920102576,38
39,58.74620829120324,989,5.580285483999887,60.30345898865496,2.9298312842000085,39
40,60.98081023454158,938,5.73786948299994,60.320635864716536,2.9983200207561045,40
41,63.61724500525763,951,5.873472635000098,60.40326831839747,3.0667760353809617,41
42,62.32427366447985,1067,5.990310844000078,60.45581562283693,3.134765216976755,42
43,61.4,1000,6.204778920000081,60.47941610218212,3.2045382556818307,43
44,59.4059405940594,1010,6.321293818999948,60.45298290952532,3.273799490422233,44
45,58.06122448979592,980,6.46163109500003,60.39717122651618,3.3431001774782723,45
46,61.431411530815105,1006,6.599681172999908,60.42136595121271,3.4123891348297963,46
47,58.43137254901961,1020,6.767439556999989,60.37525838766099,3.482286018625009,47
48,58.028169014084504,1065,6.9253502130000015,60.319819020581974,3.552552634836743,48
49,59.43025540275049,1018,7.205955486999983,60.30017785103891,3.625620691880008,49
50,62.121212121212125,792,7.32647827400001,60.33093095654399,3.6981865268235374,50
51,59.95525727069351,447,7.5391750249998495,60.32738409546943,3.772051690250005,51
