,accuracy,size,time,cum_accuracy,cum_time,index
0,57.31225296442688,1012,0.21970501100003048,57.31225296442688,0.21970501100003048,0
1,55.010020040080164,998,0.30964129300002696,56.16915422885573,0.2646731520000287,1
2,59.462151394422314,1004,0.4284592040000348,57.26609157266092,0.31926850266669743,2
3,59.78152929493545,1007,0.5313323999999966,57.89604575976125,0.3722844770000222,3
4,60.28513238289206,982,0.6440022419999991,58.36498101139316,0.4266280300000176,4
5,61.608961303462316,982,0.7399126960000331,58.89724310776943,0.47884214100002015,5
6,54.0,1000,0.851260577000005,58.19613457408733,0.5320447747143037,6
7,58.56052344601963,917,1.0154176579999898,58.23842065299924,0.5924663851250145,7
8,59.29752066115702,968,1.079193282999995,58.35400225479143,0.6465471515555679,8
9,61.0204081632653,980,1.1858225569999945,58.619289340101524,0.7004746921000106,9
10,57.15746421267893,978,1.3341757800000096,58.487255264130035,0.7580838819091014,10
11,58.032786885245905,915,1.4718751289999545,58.45184365153709,0.8175664858333391,11
12,58.29787234042553,940,1.5161545739999838,58.44043207443034,0.8713040310769272,12
13,61.421911421911425,858,1.666599983000026,58.62934790635847,0.9281108847857199,13
14,61.35593220338983,885,1.708804740000005,58.7966172189103,0.9801571418000056,14
15,61.82033096926713,846,1.8959502030000408,58.9641173389209,1.0373942081250078,15
16,61.80400890868597,898,1.944107196999994,59.12183055040198,1.0907302662941247,16
17,60.067491563554555,889,2.09743776199997,59.171112022979074,1.146658460500005,17
18,62.248520710059175,845,2.1485779729999877,59.316353887399465,1.1993910664210568,18
19,61.49490373725934,883,2.282738980999966,59.418747005908344,1.2535584621500022,19
20,58.62857142857143,875,2.351823897000031,59.38358254501068,1.3058568161904798,20
21,60.984393757503,833,2.5036193380000213,59.44864601122225,1.3603005671818225,21
22,59.95397008055235,869,2.579403995000007,59.469200524246396,1.4133050640434828,22
23,61.76808266360505,871,2.726795672000037,59.559253429278165,1.4680338393750059,23
24,61.951219512195124,820,2.7724022120000313,59.64432877900672,1.5202085742800069,24
25,59.022118742724096,859,2.9249969079999687,59.62197875721335,1.5742388948076977,25
26,60.04464285714286,896,3.022598462000019,59.63724304715841,1.6278818417407466,26
27,60.68571428571429,875,3.0684592000000066,59.67296087210434,1.6793310331071487,27
28,60.27554535017221,871,3.2263491189999627,59.692724807953006,1.732676484344832,28
29,61.24454148471615,916,3.3163780739999993,59.7444670937682,1.7854665373333376,29
30,60.3411513859275,938,3.429333826000004,59.76416754663851,1.838494514387101,30
31,62.35038084874864,919,3.4891343429999893,59.84520440519622,1.8900770090312538,31
32,62.61980830670927,939,3.6558457589999307,59.931280560327735,1.9435851529696986,32
33,63.607257203842046,937,3.7423778649999804,60.04165999038616,1.9964908209705892,33
34,59.214830970556164,917,3.916099827000039,60.01805616088662,2.0513367925714308,34
35,58.084449021627194,971,3.9797655620000114,59.96132112531351,2.104904258388891,35
36,57.33482642777156,893,4.141465232999963,59.89230859765786,2.159946446891893,36
37,64.82254697286012,958,4.240932592000036,60.027472527472526,2.2147092401842126,37
38,55.952380952380956,924,4.367299326000079,59.92249358759897,2.269903857769235,38
39,59.72495088408645,1018,4.520621098999982,59.917041696036435,2.3261717888000035,39
40,60.948536831483345,991,4.591554901999984,59.94402935818571,2.3814250354634177,40
41,58.103975535168196,981,4.690415339000083,59.897575788769366,2.4364009950714336,41
42,57.98941798941799,945,4.782298616999924,59.852272441775746,2.4909567537209334,42
43,60.172744721689064,1042,4.937003330000039,59.86044803525523,2.5465487213636404,43
44,59.4855305466238,933,5.20142199299994,59.85207525491886,2.60554590517778,44
45,55.57917109458024,941,5.685179530999903,59.75795313560711,2.67249446226087,45
46,61.24260355029586,1014,5.692215214999919,59.79237646628404,2.736743839978722,46
47,59.63213939980639,1033,5.884017609000011,59.7886789080999,2.802312043499999,47
48,59.45674044265593,994,6.224086529000033,59.78146853146853,2.872144175857142,48
49,61.94174757281553,1030,6.187377524999988,59.82902329557598,2.9384488428399993,49
50,62.56544502617801,764,5.970871742999975,59.872986499558394,2.9979081153921556,50
51,61.29032258064516,465,6.434094125000001,59.88671151002728,3.063988615576922,51
