,accuracy,size,time,cum_accuracy,cum_time,index
0,0.1113826526696569,968,15.739848956000001,0.1113826526696569,inf,0
1,0.09232563200352623,978,16.56850559,0.10180517774084095,32.308354546000004,1
2,0.09273372859404345,1049,18.455030522999998,0.09862789889109452,25.3816925345,2
3,0.09137941614686935,982,17.975690649000008,0.09683810506287498,22.913025239333336,3
4,0.09474649771093602,937,17.232540548000003,0.09643927801998389,21.492904066500003,4
5,0.09223183414305593,981,18.632390247000004,0.09573910797023558,20.920801302600005,5
6,0.08968627693748302,879,17.786957775000005,0.0949536874686428,20.398494048000003,6
7,0.08894551420269545,943,18.2635978,0.09421950224254608,20.09350886971429,7
8,0.09029637365838092,908,18.21227140800002,0.0938064934594247,19.858354187000007,8
9,0.09060044839049258,989,19.548556910000002,0.09347668499539578,19.82393226733334,9
10,0.08858575514418092,896,18.73854731,0.09305972275498775,19.715393771600006,10
11,0.08505644395071192,947,19.599857541000006,0.09239819661135075,19.704890477909096,11
12,0.08614253465743173,891,18.034953691,0.09194680409426767,19.565729079000004,12
13,0.08642142425411643,814,17.103529685000012,0.09160508861106732,19.376329125615392,13
14,0.09201354105283314,418,8.722990084999992,0.09161766100581387,18.615376337000004,14
